,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,86595.9,47.4079474345427,1081.45,0.592052565457328,
311,12.1833333333333,43450.8,47.2843544062161,657.625,0.715645593783954,
562,16.3666666666667,43284,47.1574768314885,773.319,0.842523168511456,
812,20.5333333333333,43144.2,47.0245278641548,894.979,0.975472135845221,
1063,24.7166666666667,43055.9,46.9126708097487,997.938,1.08732919025126,
1314,28.9,42939,46.7608309025433,1137.89,1.23916909745674,
1564,33.0666666666667,42726.2,46.6792306473728,1208.92,1.32076935262724,
1815,37.25,42659.8,46.5544269746301,1324.64,1.44557302536988,
2065,41.4166666666667,42460.6,46.4562010703047,1411.02,1.54379892969532,
2316,45.6,42377,46.3334415307081,1524.25,1.66655846929188,
2567,49.7833333333333,42315.8,46.2038648532021,1644.99,1.79613514679786,
2818,53.9666666666667,42118.5,46.0707986381722,1763.7,1.9292013618278,
3069,58.15,42013.4,45.9793172744329,1846.39,2.02068272556709,
