,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,72725.5,45.3831999070189,4193.36,2.6168000929811,
285,11.75,37833.1,43.9786595628746,3459.4,4.02134043712539,
535,15.9166666666667,36613.4,42.7728197021747,4474.45,5.22718029782527,
786,20.1,35410.5,41.5967820998922,5450.93,6.40321790010775,
1037,24.2833333333333,34338.9,40.4859690224469,6373.16,7.51403097755309,
1288,28.4666666666667,33298.9,39.3963366900857,7272.06,8.60366330991428,
1539,32.65,32503,38.3128386751072,8218.18,9.68716132489284,
1789,36.8166666666667,31708.4,37.3139046467481,9080.77,10.6860953532519,
2040,41,30663,36.4255798534537,9743.33,11.5744201465463,
2291,45.1833333333333,29728.9,35.5874906479126,10369.1,12.4125093520874,
2542,49.3666666666667,29666.3,34.4293910709752,11693.2,13.5706089290248,
2792,53.5333333333333,28350.1,33.8750500979555,11821.2,14.1249499020445,
3043,57.7166666666667,27675.4,33.0526535791595,12515.6,14.9473464208405,
