,Time (min),,Ester fuel,,Phenol waste,
-360,0,1,48,0,0,--
0,6,83542.8,47.1837496193582,1445.24,0.816250380641794,
283,10.7166666666667,41543.2,47.0046585460355,879.693,0.99534145396449,
534,14.9,41364,46.691928402662,1158.81,1.30807159733799,
784,19.0666666666667,41050.4,46.4794955806696,1342.9,1.52050441933041,
1035,23.25,40760.2,46.2395369640563,1551.85,1.76046303594366,
1285,27.4166666666667,40481.9,45.9921745208249,1767.27,2.00782547917509,
1536,31.6,40162.7,45.7803820712207,1947.25,2.2196179287793,
1787,35.7833333333333,39944,45.5200982333384,2176.12,2.47990176666163,
2038,39.9666666666667,39648.2,45.2850144341829,2377.04,2.71498556581711,
2288,44.1333333333333,39365.9,45.0596140574617,2568.84,2.94038594253833,
2539,48.3166666666667,39124.7,44.8246918636832,2771.53,3.1753081363168,
2790,52.5,38793.4,44.6135541517742,2944.66,3.38644584822582,
3041,56.6833333333333,38591.1,44.3621541490144,3164.6,3.63784585098561,
