,Time (min),,Ester fuel,,Phenol waste,
-360,0,1,48,0,0,--
0,6,79029.4,47.3372849587825,1106.4,0.662715041217533,
272,10.5333333333333,39407.7,47.1901006769927,676.334,0.80989932300726,
523,14.7166666666667,39139.4,47.0405621397294,798.286,0.959437860270622,
774,18.9,38947.8,46.8468481110628,958.714,1.15315188893723,
1024,23.0666666666667,38775.2,46.6620486218446,1111.81,1.33795137815544,
1275,27.25,38503.2,46.5179875997581,1226.67,1.48201240024193,
1526,31.4333333333333,38444.4,46.2893677480464,1420.72,1.71063225195359,
1776,35.6,38154.1,46.1399321731231,1538.13,1.86006782687695,
2027,39.7833333333333,37998.8,45.9197572218274,1721.41,2.08024277817262,
2278,43.9666666666667,37757.2,45.7750419019389,1835.24,2.22495809806115,
2528,48.1333333333333,37508.7,45.6175294867926,1958.97,2.38247051320739,
2779,52.3166666666667,37338.4,45.4180657266335,2122.62,2.58193427336648,
3029,56.4833333333333,37114.8,45.261042778867,2245.99,2.73895722113301,
