,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,66091,45.1193483086972,4219.59,2.88065169130283,
273,11.55,34603.5,43.9288080411632,3206.95,4.07119195883678,
523,15.7166666666667,33556.1,42.7168765700319,4150.14,5.28312342996809,
773,19.8833333333333,32715.7,41.5090453483331,5115.9,6.49095465166686,
1023,24.05,31806.6,40.4258021124877,5959.3,7.57419788751228,
1274,28.2333333333333,30911.2,39.3765515220773,6769.54,8.62344847792267,
1524,32.4,29730.9,38.6352664459685,7206.42,9.36473355403153,
1774,36.5666666666667,29045.7,37.5815202228701,8052.15,10.4184797771299,
2024,40.7333333333333,28459.9,36.6164116658934,8847.83,11.3835883341066,
2275,44.9166666666667,27556.3,35.8180262345512,9372.1,12.1819737654488,
2525,49.0833333333333,26956.3,34.9601305564862,10054.5,13.0398694435138,
2775,53.25,26371.5,34.1528773436003,10692.2,13.8471226563997,
3025,57.4166666666667,25681.5,33.4067387351254,11218.6,14.5932612648746,
