,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,78856.9,47.1868652277644,1358.88,0.813134772235588,
298,11.9666666666667,42441.2,47.0590605095343,848.606,0.940939490465723,
548,16.1333333333333,42259.1,46.879266585285,1010.28,1.12073341471498,
799,20.3166666666667,42068.1,46.7075189326474,1164.1,1.29248106735258,
1049,24.4833333333333,41793.9,46.553176736444,1298.91,1.44682326355603,
1300,28.6666666666667,41557.6,46.3532707656929,1476.36,1.64672923430705,
1551,32.85,41386.7,46.1954865397758,1616.67,1.80451346022416,
1801,37.0166666666667,41189.4,46.0120151681374,1779.62,1.98798483186258,
2052,41.2,40967.4,45.8493424663539,1921.66,2.15065753364611,
2303,45.3833333333333,40774.6,45.6611837869012,2088.52,2.33881621309881,
2554,49.5666666666667,40630.4,45.5032267999384,2229.4,2.4967732000616,
2804,53.7333333333333,40469.7,45.3252421022765,2388.22,2.67475789772345,
3055,57.9166666666667,40188.4,45.1725299094462,2515.5,2.82747009055379,
