,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,80515.8,46.9526368317563,1796.05,1.0473631682437,
281,11.6833333333333,43484.1,46.5809573119566,1324.7,1.41904268804342,
531,15.85,43054.1,46.1544996686814,1721.53,1.84550033131862,
782,20.0333333333333,42654,45.7514493751106,2096.32,2.24855062488939,
1033,24.2166666666667,42201,45.3630096891265,2453.18,2.63699031087347,
1284,28.4,41720.7,44.9612442086338,2819.74,3.03875579136623,
1535,32.5833333333333,41286.9,44.5711733355344,3176.17,3.42882666446559,
1786,36.7666666666667,40904.3,44.2078912427276,3508.73,3.79210875727236,
2037,40.95,40476.6,43.8057256338592,3875.52,4.19427436614078,
2287,45.1166666666667,40097.1,43.4304112039069,4218.87,4.56958879609315,
2538,49.3,39794,43.0148730403764,4611.85,4.98512695962356,
2789,53.4833333333333,39364.3,42.6825769122079,4904.03,5.31742308779211,
3040,57.6666666666667,38886.2,42.344329025483,5193.79,5.65567097451701,
