,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,82350.5,47.1864047443966,1419.9,0.813595255603412,
295,11.9166666666667,40861.6,47.0769613180342,801.174,0.923038681965824,
546,16.1,40636.9,46.9582685147913,901.497,1.04173148520873,
797,20.2833333333333,40399.8,46.7623089872481,1069.29,1.23769101275191,
1048,24.4666666666667,40184.3,46.5847315501078,1220.82,1.41526844989219,
1298,28.6333333333333,39934.5,46.4130905885971,1365.4,1.58690941140293,
1549,32.8166666666667,39793,46.2273457292688,1525.92,1.77265427073118,
1799,36.9833333333333,39486.3,46.10008746489,1627.34,1.89991253511,
2050,41.1666666666667,39313.4,45.9078414490879,1791.63,2.09215855091214,
2301,45.35,39097.6,45.7288111143817,1941.84,2.27118888561832,
2552,49.5333333333333,38810.9,45.5880365012982,2053.4,2.4119634987018,
2803,53.7166666666667,38686.2,45.4179768289605,2199.32,2.58202317103953,
3053,57.8833333333333,38509.2,45.2307317357257,2357.74,2.76926826427425,
