,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,72138.9,46.0069637561022,3125.08,1.99303624389781,
284,11.7333333333333,37882.1,45.0882440676554,2446.39,2.9117559323446,
535,15.9166666666667,37015.5,44.2068711904334,3176.08,3.79312880956658,
786,20.1,36137.4,43.335693410488,3889.54,4.66430658951196,
1037,24.2833333333333,35340.3,42.4836303721118,4588.83,5.51636962788821,
1287,28.45,34539.1,41.6761387631976,5240.9,6.32386123680241,
1538,32.6333333333333,34136.5,40.7931114235261,6030.87,7.20688857647389,
1789,36.8166666666667,33004.5,40.1417845607468,6461.01,7.85821543925316,
2040,41,32593.7,39.3418917481481,7173.01,8.65810825185186,
2291,45.1833333333333,31715.5,38.7016964138854,7619.83,9.29830358611457,
2542,49.3666666666667,31261.1,37.9144836731244,8315.67,10.0855163268756,
2793,53.55,30763.9,37.2406550788585,8888.12,10.7593449211415,
3043,57.7166666666667,30108.2,36.6097109385548,9367.49,11.3902890614452,
