,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,77986.8,46.3655804128746,2749.09,1.63441958712538,
275,11.5833333333333,41657.3,45.5102861579157,2278.93,2.48971384208431,
525,15.75,40772.1,44.6631947455623,3046.1,3.33680525443765,
775,19.9166666666667,39804.1,43.8386735945317,3778.35,4.16132640546826,
1025,24.0833333333333,39171.1,42.9652836381809,4590.11,5.03471636181906,
1276,28.2666666666667,38286.3,42.22657618772,5234.69,5.77342381228,
1526,32.4333333333333,37562.8,41.4481781222953,5937.65,6.55182187770471,
1776,36.6,36811.4,40.7216732198946,6579.43,7.27832678010538,
2026,40.7666666666667,36180.6,39.980450274472,7257.35,8.01954972552802,
2277,44.95,35418.4,39.3265768954251,7811.48,8.67342310457489,
2527,49.1166666666667,34768.1,38.6735751583505,8384.59,9.3264248416495,
2777,53.2833333333333,34238.4,37.9576485630796,9058.36,10.0423514369205,
3027,57.45,33401.2,37.4664503636443,9390.62,10.5335496363557,
