,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,76129.9,46.7921727649436,1965.11,1.20782723505638,
287,11.7833333333333,41143.5,46.3831100476446,1434.24,1.61688995235539,
537,15.95,40683.3,45.8749704001894,1884.54,2.12502959981056,
788,20.1333333333333,40142.7,45.4260527784903,2274.58,2.57394722150972,
1039,24.3166666666667,39763.7,44.945462354896,2702.38,3.05453764510405,
1290,28.5,39249.5,44.5339126282671,3054.8,3.4660873717329,
1541,32.6833333333333,38731.4,44.0928728775451,3432.04,3.9071271224549,
1792,36.8666666666667,38304.9,43.6701303309684,3797.91,4.32986966903159,
2043,41.05,37825.3,43.2308596743996,4172.81,4.76914032560037,
2293,45.2166666666667,37454.7,42.8292130238214,4521.92,5.17078697617864,
2544,49.4,37069.7,42.3899475052798,4905.95,5.61005249472015,
2795,53.5833333333333,36630.9,42.0046513016836,5228.35,5.99534869831638,
3046,57.7666666666667,36271.2,41.6085049696686,5571.63,6.39149503033136,
