,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,74076.1,47.0960989337176,1421.72,0.903901066282443,
297,11.95,39878.9,46.8580663302861,971.851,1.14193366971393,
547,16.1166666666667,39650.3,46.6511164121857,1146.46,1.34888358781433,
797,20.2833333333333,39439.7,46.4526007465864,1313.79,1.54739925341363,
1048,24.4666666666667,39151.3,46.2241200134299,1504.15,1.77587998657007,
1299,28.65,38911.9,45.9924127846991,1698.52,2.0075872153009,
1550,32.8333333333333,38701.5,45.782136638707,1874.85,2.21786336129297,
1801,37.0166666666667,38471.9,45.5503931344294,2068.94,2.44960686557062,
2052,41.2,38245,45.3179298057912,2263.47,2.68207019420877,
2303,45.3833333333333,38086.4,45.061119698381,2483.99,2.93888030161899,
2554,49.5666666666667,37839.8,44.8746935157267,2635.36,3.12530648427332,
2804,53.7333333333333,37572.2,44.6850000483157,2787.33,3.31499995168427,
3055,57.9166666666667,37345.2,44.467151647813,2967.02,3.532848352187,
