,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,
-420,0,1,48,0,0,0,0,--
0,7,75629.6,45.2457216727286,1659.56,0.992838648613683,2944.3,1.76143967865776,
282,11.7,37068.3,43.8535279806552,1350.21,1.59736141163098,2154.7,2.54911060771381,
533,15.8833333333333,36004.6,42.50216234096,1843.56,2.17625765611339,2813.79,3.32158000292657,
784,20.0666666666667,35027.7,41.5893156448073,1961.69,2.32916647702424,3437.57,4.08151787816843,
1035,24.25,34145.1,40.4013401010524,2355.82,2.78746540607177,4066.17,4.81119449287588,
1286,28.4333333333333,33189.9,39.6319889864373,2407.31,2.87456375002457,4600.5,5.49344726353815,
1537,32.6166666666667,32346.3,38.5164030971445,2799.9,3.33398493897895,5164.48,6.14961196387657,
1787,36.7833333333333,31599.3,37.4417588537354,3122.3,3.69958839812965,5788.42,6.85865274813491,
2038,40.9666666666667,30824,36.9837424732168,2965.59,3.55822141322174,6215.88,7.45803611356147,
2289,45.15,29963.3,36.2253771864802,3104.86,3.75374957401938,6634.35,8.02087323950048,
2539,49.3166666666667,29415.7,35.0608992075281,3625.13,4.32083266909121,7230.63,8.61826812338068,
2790,53.5,28719.6,34.5771751747996,3528.33,4.24795904136898,7620.59,9.17486578383145,
3041,57.6833333333333,28056.2,33.8787928491897,3643.16,4.3992366377647,8051.1,9.72197051304564,
