,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,
-420,0,1,48,0,0,0,0,--
0,7,42942.6,32.6749212431355,6316.39,4.80612598657111,13824.4,10.5189527702934,
279,11.65,19620.2,24.1558045825179,5630.1,6.93161106308978,13737,16.9125843543923,
530,15.8333333333333,14888.2,18.6438574952036,6110.98,7.65251946347035,17331.6,21.7036230413261,
781,20.0166666666667,11494.7,14.6033250057765,6265.69,7.96018229753225,20021.8,25.4364926966912,
1031,24.1833333333333,9101.47,11.6513636534567,6246.96,7.99712603443158,22146.8,28.3515103121117,
1282,28.3666666666667,7378.58,9.45593708925678,6187.59,7.92963710823957,23888.8,30.6144258025036,
1533,32.55,5955.97,7.72333857341961,5967.76,7.73862712621296,25092.2,32.5380343003674,
1784,36.7333333333333,4906.19,6.37498355477762,5773.23,7.5015941714342,26261.4,34.1234222737882,
2035,40.9166666666667,4047.19,5.29733155251408,5570.37,7.2910085170644,27054.7,35.4116599304215,
2286,45.1,3283.72,4.32805542993042,5320.05,7.0120081157959,27814.1,36.6599364542737,
2537,49.2833333333333,2862.97,3.77194615840671,5200.13,6.85114073033091,28369.7,37.3769131112624,
2787,53.45,2437.88,3.22052181934973,5014.8,6.62472017477277,28882.5,38.1547580058775,
3038,57.6333333333333,2114.95,2.78561991249456,4865.5,6.40839437539531,29463,38.8059857121101,
