,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,,,
-420,0,1,48,0,0,0,0,--,--,--
0,7,38041.7,33.5532225122448,4851.05,4.27868260535216,11528.3,10.168094882403,21870.4,0,
279,11.65,14287.4,25.836633573844,3340.3,6.04043472757193,8915.82,16.1229316985841,11030.2,0,
530,15.8333333333333,11080.5,20.2876161639048,3796.79,6.95165544650081,11338.9,20.7607283895944,11078,0,
780,20,8779.31,16.2191731050934,3918.31,7.23880899175661,13284.4,24.5420179031499,11065,0,
1031,24.1833333333333,6979.22,12.9938219697087,4016.16,7.47723499787446,14786.3,27.5289430324168,11090.2,0,
1282,28.3666666666667,5662.23,10.5940199791384,4010.73,7.50406708150846,15981.8,29.9019129393532,11056.8,0,
1533,32.55,4626.02,8.70836242017134,3908.14,7.35697197780563,16964.2,31.934665602023,11080.3,0,
1784,36.7333333333333,3851.28,7.25544045863634,3833.53,7.22200116880522,17794.2,33.5225583725584,11116.6,0,
2035,40.9166666666667,3130.25,5.92356281100755,3772.29,7.1385342245302,18462.6,34.9379029644622,11082.7,0,
2285,45.0833333333333,2651.59,5.03275139474274,3661.62,6.94980112386075,18976.4,36.0174474813965,11101.7,0,
2536,49.2666666666667,2198.19,4.18224720072013,3586.42,6.82347522534753,19444.2,36.9942775739323,11080.5,0,
2787,53.45,1883.92,3.58652758128749,3473.77,6.61321707718429,19855.6,37.8002553415282,11058.1,0,
3038,57.6333333333333,1595.96,3.04586082077446,3375.72,6.44250062025663,20179.2,38.5116385589689,11104.2,0,
