,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,,,
-360,0,1,48,0,0,0,0,--,--,--
0,6,60782.6,45.5177345948317,1272.22,0.952716275813092,2042.5,1.52954912935517,25267.5,0,
273,10.55,25050,44.0423040542362,910.074,1.60007009260898,1340.95,2.35762585315481,10941.1,0,
523,14.7166666666667,24258.9,43.020502204232,997.927,1.76971423696716,1809.97,3.20978355880084,10903.2,0,
774,18.9,23577.2,41.8644282853722,1202.41,2.13503754536647,2253.02,4.00053416926137,10933.5,0,
1025,23.0833333333333,22912.6,40.6699605320427,1422.32,2.52462393023642,2707.27,4.80541553772087,10900.3,0,
1276,27.2666666666667,22303.1,39.7189341044503,1551.93,2.76378644245506,3098.08,5.51727945309465,10880.1,0,
1527,31.45,21606.2,38.7186346040338,1672.28,2.99675085279381,3507.01,6.28461454317244,10946,0,
1778,35.6333333333333,21095.7,37.7702364477998,1817.39,3.25389771459904,3896.21,6.97586583760113,10940.8,0,
2029,39.8166666666667,20505.8,36.8618882853921,1964.04,3.53062172985407,4231.95,7.60748998475383,10950.2,0,
2279,43.9833333333333,20022.6,35.9826534734424,2103.98,3.78106655754264,4583.09,8.23627996901497,10966.2,0,
2530,48.1666666666667,19531.4,35.176671835878,2165.24,3.89966602117188,4954.75,8.92366214295014,10935.7,0,
2781,52.35,19062.4,34.3446683845347,2330.35,4.19858454181532,5248.8,9.45674707365,10964.9,0,
3032,56.5333333333333,18758,33.6101253234995,2443.48,4.37816766315516,5587.59,10.0117070133454,10963.1,0,
