,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,
-420,0,1,48,0,0,0,0,--
0,7,78641.6,46.451742470967,1439.12,0.850054317623472,1182.04,0.698203211409507,
272,11.5333333333333,39747.5,45.8606280926322,994.021,1.14690049430194,860.177,0.99247141306588,
522,15.7,39339.6,45.9173537103227,695.373,0.811642416333878,1088.93,1.27100387334344,
772,19.8666666666667,38962.1,45.4557194112279,834.455,0.973529464307524,1346.36,1.57075112446456,
1022,24.0333333333333,38661.4,44.9517405427403,1002.27,1.16534271893341,1619.43,1.88291673832634,
1273,28.2166666666667,38263.1,44.8708462563628,833.19,0.977075573916878,1835.16,2.15207816972035,
1523,32.3833333333333,37826.3,44.5008706243662,901.864,1.06100076361615,2072.44,2.43812861201761,
1773,36.55,37581.5,43.831624893787,1207.56,1.40838755655685,2366.43,2.75998754965619,
2024,40.7333333333333,37329.6,42.8245930480035,1846.17,2.11792997908985,2665.16,3.05747697290667,
2274,44.9,37077.4,42.5445929121797,1752.38,2.01077458849448,3001.98,3.44463249932587,
2524,49.0666666666667,36476.3,43.1207705506569,1072.6,1.2679832793522,3054.79,3.61124616999095,
2774,53.2333333333333,36294.7,42.3292145574087,1498.37,1.74749550805998,3363.98,3.92328993453126,
3025,57.4166666666667,35894.9,42.1856609095494,1385.3,1.62808075960649,3562,4.18625833084408,
